,Age,Gender,Country,Degree,Job Title,Company Size,Team Size,ML Status in Company,Year,Min_Salary,Max_Salary
1414,35-39,Male,Brazil,Doctoral,DBA/Database Engineer,"1000-9,999 employees",0,Never,2020,60000.0,69999.0
1415,25-29,Male,Japan,Master,Data Scientist,250-999 employees,20+,Exploring,2020,50000.0,59999.0
1416,25-29,Female,Indonesia,Bachelor,Research Scientist,0-49 employees,1-2,Recently-started,2020,40000.0,49999.0
1417,22-24,Male,Malaysia,Bachelor,Data Scientist,0-49 employees,3-4,Recently-started,2020,10001.0,20000.0
1418,30-34,Male,United States of America,Doctoral,Software Engineer,"10,000 or more employees",20+,Well-establised,2020,300000.0,500000.0
1419,25-29,Male,Brazil,Master,Data Scientist,50-249 employees,3-4,Recently-started,2020,20001.0,30000.0
1420,50-54,Male,Germany,Master,Software Engineer,250-999 employees,5-9,Recently-started,2020,500000.0,
1421,30-34,Female,India,Master,Data Scientist,"10,000 or more employees",20+,Others,2020,40000.0,49999.0
1422,30-34,Male,United States of America,Master,Data Analyst,50-249 employees,1-2,Never,2020,50000.0,59999.0
1423,35-39,Male,United States of America,Master,Data Scientist,"1000-9,999 employees",15-19,Well-establised,2020,90000.0,99999.0
1424,30-34,Male,United States of America,Doctoral,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,150000.0,199999.0
1425,25-29,Female,Indonesia,Master,Research Scientist,"10,000 or more employees",0,Never,2020,10001.0,20000.0
1426,25-29,Male,India,Professional degree,Software Engineer,"10,000 or more employees",0,Exploring,2020,20001.0,30000.0
1427,22-24,Male,Malaysia,Bachelor,Research Scientist,"10,000 or more employees",1-2,Exploring,2020,10001.0,20000.0
1428,40-44,Male,India,Master,Product/Project Manager,250-999 employees,10-14,Well-establised,2020,30000.0,39999.0
1429,35-39,Male,India,Master,Business Analyst,"10,000 or more employees",20+,Well-establised,2020,50000.0,59999.0
1430,35-39,Male,Sweden,Bachelor,Data Analyst,"1000-9,999 employees",1-2,Exploring,2020,50000.0,59999.0
1431,45-49,Male,Turkey,Doctoral,Data Scientist,50-249 employees,1-2,Never,2020,100000.0,124999.0
1432,40-44,Male,Brazil,Master,Software Engineer,50-249 employees,3-4,Exploring,2020,100000.0,124999.0
1433,60-69,Male,United States of America,Bachelor,Research Scientist,"10,000 or more employees",20+,Well-establised,2020,200000.0,249999.0
1434,30-34,Male,Canada,Bachelor,Data Engineer,"1000-9,999 employees",3-4,Others,2020,70000.0,79999.0
1435,40-44,Male,Romania,Master,Software Engineer,50-249 employees,1-2,Exploring,2020,10001.0,20000.0
1436,35-39,Male,Spain,Doctoral,Software Engineer,0-49 employees,0,Never,2020,100000.0,124999.0
1437,40-44,Male,United States of America,Some college,Product/Project Manager,"10,000 or more employees",20+,Exploring,2020,90000.0,99999.0
1438,50-54,Male,Singapore,Doctoral,Data Scientist,0-49 employees,3-4,Well-establised,2020,200000.0,249999.0
1439,45-49,Female,United Kingdom of Great Britain and Northern Ireland,Master,Data Analyst,250-999 employees,0,Never,2020,30000.0,39999.0
1440,45-49,Female,United States of America,Master,Software Engineer,0-49 employees,1-2,Exploring,2020,10001.0,20000.0
1441,30-34,Male,United States of America,Master,Data Scientist,"1000-9,999 employees",20+,Well-establised,2020,90000.0,99999.0
1442,50-54,Female,United States of America,Doctoral,Research Scientist,250-999 employees,1-2,Others,2020,150000.0,199999.0
1443,30-34,Male,Morocco,Master,Statistician,"1000-9,999 employees",5-9,Never,2020,10001.0,20000.0
1444,35-39,Male,Singapore,Doctoral,Data Scientist,50-249 employees,3-4,Well-establised,2020,100000.0,124999.0
1445,30-34,Male,South Africa,Master,Machine Learning Engineer,50-249 employees,1-2,Recently-started,2020,30000.0,39999.0
1446,45-49,Male,Japan,Doctoral,Research Scientist,"1000-9,999 employees",20+,Others,2020,50000.0,59999.0
1447,30-34,Male,United States of America,Bachelor,Software Engineer,"1000-9,999 employees",10-14,Never,2020,150000.0,199999.0
1448,45-49,Male,Canada,Doctoral,Data Scientist,"10,000 or more employees",5-9,Recently-started,2020,80000.0,89999.0
1449,25-29,Female,India,Master,Data Scientist,250-999 employees,20+,Well-establised,2020,10001.0,20000.0
1450,30-34,Male,Germany,Master,Research Scientist,250-999 employees,20+,Well-establised,2020,30000.0,39999.0
1451,35-39,Male,Mexico,Professional degree,Business Analyst,"10,000 or more employees",20+,Well-establised,2020,10001.0,20000.0
1452,30-34,Male,Japan,Master,Data Analyst,"1000-9,999 employees",20+,Recently-started,2020,40000.0,49999.0
1453,25-29,Male,United States of America,Master,Business Analyst,"1000-9,999 employees",10-14,Others,2020,60000.0,69999.0
1454,30-34,Female,Turkey,Master,Data Scientist,"10,000 or more employees",3-4,Recently-started,2020,10001.0,20000.0
1455,35-39,Male,Brazil,Some college,Data Scientist,"1000-9,999 employees",5-9,Exploring,2020,10001.0,20000.0
1456,35-39,Male,Mexico,Bachelor,Statistician,0-49 employees,1-2,Recently-started,2020,20001.0,30000.0
1457,25-29,Male,United States of America,Bachelor,Data Scientist,50-249 employees,5-9,Recently-started,2020,125000.0,149999.0
1458,45-49,Male,Germany,Doctoral,Statistician,250-999 employees,20+,Well-establised,2020,150000.0,199999.0
1459,25-29,Male,Italy,Master,Software Engineer,0-49 employees,1-2,Others,2020,20001.0,30000.0
1460,25-29,Male,France,Master,Data Scientist,"10,000 or more employees",20+,Recently-started,2020,60000.0,69999.0
1461,45-49,Male,Mexico,Doctoral,Data Analyst,0-49 employees,3-4,Well-establised,2020,80000.0,89999.0
1462,30-34,Male,Japan,Master,Business Analyst,"1000-9,999 employees",0,Exploring,2020,100000.0,124999.0
1463,40-44,Male,United States of America,Doctoral,Machine Learning Engineer,0-49 employees,3-4,Well-establised,2020,150000.0,199999.0
1464,40-44,Male,Turkey,Master,Software Engineer,"1000-9,999 employees",10-14,Exploring,2020,10001.0,20000.0
1465,25-29,Male,United States of America,Doctoral,Research Scientist,"1000-9,999 employees",20+,Well-establised,2020,125000.0,149999.0
1466,35-39,Male,United States of America,Bachelor,Machine Learning Engineer,250-999 employees,5-9,Recently-started,2020,125000.0,149999.0
1467,25-29,Male,India,Master,Data Scientist,"10,000 or more employees",3-4,Well-establised,2020,20001.0,30000.0
1468,35-39,Male,United States of America,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,100000.0,124999.0
1469,25-29,Male,Netherlands,Bachelor,Data Engineer,"10,000 or more employees",20+,Others,2020,20001.0,30000.0
1470,25-29,Male,South Africa,Doctoral,Data Scientist,"1000-9,999 employees",15-19,Never,2020,50000.0,59999.0
1471,50-54,Male,United States of America,Master,Software Engineer,"1000-9,999 employees",20+,Well-establised,2020,125000.0,149999.0
1472,25-29,Male,Sweden,Master,Software Engineer,"10,000 or more employees",20+,Well-establised,2020,40000.0,49999.0
1473,25-29,Male,Spain,Master,Data Scientist,"1000-9,999 employees",1-2,Recently-started,2020,10001.0,20000.0
1474,40-44,Male,Canada,Doctoral,Research Scientist,"1000-9,999 employees",20+,Recently-started,2020,150000.0,199999.0
1475,40-44,Male,Canada,Bachelor,Software Engineer,0-49 employees,0,Never,2020,40000.0,49999.0
1476,40-44,Male,Tunisia,Doctoral,Research Scientist,250-999 employees,0,Never,2020,10001.0,20000.0
1477,25-29,Male,France,Master,Research Scientist,0-49 employees,5-9,Recently-started,2020,30000.0,39999.0
1478,25-29,Male,India,Master,Research Scientist,"10,000 or more employees",20+,Well-establised,2020,20001.0,30000.0
1479,35-39,Male,India,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,20001.0,30000.0
1480,30-34,Male,Russia,Master,Data Scientist,250-999 employees,5-9,Recently-started,2020,30000.0,39999.0
1481,40-44,Male,China,Master,Product/Project Manager,250-999 employees,5-9,Others,2020,80000.0,89999.0
1482,40-44,Male,Portugal,Master,Data Engineer,50-249 employees,1-2,Exploring,2020,20001.0,30000.0
1483,40-44,Male,United States of America,Doctoral,Research Scientist,"1000-9,999 employees",20+,Well-establised,2020,100000.0,124999.0
1484,30-34,Male,Spain,Doctoral,Research Scientist,"10,000 or more employees",20+,Never,2020,20001.0,30000.0
1485,50-54,Male,Australia,Some college,Data Analyst,"10,000 or more employees",20+,Recently-started,2020,90000.0,99999.0
1486,25-29,Male,India,Master,Software Engineer,"1000-9,999 employees",20+,Recently-started,2020,10001.0,20000.0
1487,45-49,Male,Italy,Master,Product/Project Manager,"1000-9,999 employees",1-2,Exploring,2020,70000.0,79999.0
1488,25-29,Male,Kenya,Bachelor,Product/Project Manager,250-999 employees,1-2,Never,2020,10001.0,20000.0
1489,25-29,Male,Nigeria,Bachelor,Business Analyst,"1000-9,999 employees",5-9,Recently-started,2020,10001.0,20000.0
1490,55-59,Male,United States of America,Master,Data Analyst,0-49 employees,0,Exploring,2020,125000.0,149999.0
1491,30-34,Female,United States of America,Master,Data Analyst,0-49 employees,3-4,Others,2020,100000.0,124999.0
1492,25-29,Male,Peru,Master,Data Engineer,250-999 employees,1-2,Exploring,2020,20001.0,30000.0
1493,22-24,Male,China,Master,Machine Learning Engineer,"1000-9,999 employees",20+,Exploring,2020,40000.0,49999.0
1494,35-39,Female,United States of America,Master,Data Scientist,"1000-9,999 employees",3-4,Others,2020,150000.0,199999.0
1495,18-21,Male,Israel,Bachelor,Software Engineer,"1000-9,999 employees",10-14,Well-establised,2020,60000.0,69999.0
1496,25-29,Male,Russia,Master,Business Analyst,50-249 employees,3-4,Well-establised,2020,20001.0,30000.0
1497,25-29,Male,Taiwan,Master,Data Analyst,"10,000 or more employees",10-14,Others,2020,20001.0,30000.0
1498,25-29,Male,Mexico,Master,Data Scientist,0-49 employees,3-4,Exploring,2020,10001.0,20000.0
1499,50-54,Male,United States of America,Bachelor,Data Engineer,"10,000 or more employees",20+,Well-establised,2020,30000.0,39999.0
1500,50-54,Male,Spain,Master,Data Engineer,"10,000 or more employees",0,Exploring,2020,30000.0,39999.0
1501,35-39,Male,Italy,Master,Product/Project Manager,0-49 employees,15-19,Well-establised,2020,10001.0,20000.0
1502,60-69,Female,United States of America,Master,Software Engineer,"1000-9,999 employees",5-9,Recently-started,2020,125000.0,149999.0
1503,45-49,Male,United States of America,Doctoral,Research Scientist,"1000-9,999 employees",15-19,Never,2020,100000.0,124999.0
1504,25-29,Male,Peru,Doctoral,Data Scientist,"1000-9,999 employees",20+,Well-establised,2020,10001.0,20000.0
1505,25-29,Male,South Africa,Master,Data Scientist,"10,000 or more employees",3-4,Recently-started,2020,60000.0,69999.0
1506,30-34,Male,Pakistan,Bachelor,Software Engineer,"1000-9,999 employees",0,Never,2020,10001.0,20000.0
1507,30-34,Male,France,Master,Data Scientist,0-49 employees,5-9,Recently-started,2020,40000.0,49999.0
1508,25-29,Male,Brazil,Bachelor,Data Scientist,"1000-9,999 employees",20+,Well-establised,2020,30000.0,39999.0
1509,35-39,Male,Argentina,Master,Business Analyst,50-249 employees,5-9,Recently-started,2020,40000.0,49999.0
1510,30-34,Male,Russia,Master,Software Engineer,"10,000 or more employees",3-4,Well-establised,2020,40000.0,49999.0
1511,45-49,Male,Canada,Master,Data Scientist,0-49 employees,1-2,Exploring,2020,10001.0,20000.0
1512,60-69,Male,Japan,Doctoral,Machine Learning Engineer,250-999 employees,3-4,Recently-started,2020,30000.0,39999.0
1513,30-34,Male,China,Bachelor,Software Engineer,50-249 employees,1-2,Recently-started,2020,10001.0,20000.0
1514,30-34,Female,Argentina,Master,Data Analyst,"1000-9,999 employees",10-14,Never,2020,10001.0,20000.0
1515,35-39,Male,India,Master,Business Analyst,"10,000 or more employees",20+,Exploring,2020,10001.0,20000.0
1516,22-24,Male,Romania,Bachelor,Software Engineer,0-49 employees,1-2,Exploring,2020,20001.0,30000.0
1517,45-49,Male,Poland,Master,Machine Learning Engineer,"1000-9,999 employees",20+,Well-establised,2020,50000.0,59999.0
1518,30-34,Male,Italy,Master,Data Analyst,50-249 employees,1-2,Exploring,2020,20001.0,30000.0
1519,40-44,Male,India,Master,Research Scientist,"10,000 or more employees",10-14,Exploring,2020,40000.0,49999.0
1520,30-34,Male,France,Master,Data Scientist,250-999 employees,3-4,Well-establised,2020,40000.0,49999.0
1521,40-44,Male,United States of America,Master,Data Engineer,250-999 employees,20+,Others,2020,100000.0,124999.0
1522,50-54,Male,Japan,Bachelor,Business Analyst,0-49 employees,1-2,Recently-started,2020,100000.0,124999.0
1523,35-39,Male,United States of America,Master,Product/Project Manager,50-249 employees,0,Never,2020,125000.0,149999.0
1524,25-29,Female,South Africa,Bachelor,Business Analyst,"10,000 or more employees",20+,Exploring,2020,10001.0,20000.0
1525,50-54,Male,Japan,Master,Machine Learning Engineer,250-999 employees,3-4,Recently-started,2020,150000.0,199999.0
1526,30-34,Male,Spain,Bachelor,Software Engineer,0-49 employees,3-4,Well-establised,2020,40000.0,49999.0
1527,60-69,Male,Poland,Doctoral,Data Scientist,0-49 employees,5-9,Exploring,2020,50000.0,59999.0
1528,45-49,Male,France,Master,Data Analyst,"10,000 or more employees",20+,Well-establised,2020,60000.0,69999.0
1529,35-39,Male,India,Master,Business Analyst,"10,000 or more employees",10-14,Others,2020,40000.0,49999.0
1530,45-49,Male,Portugal,Bachelor,Data Engineer,250-999 employees,1-2,Never,2020,10001.0,20000.0
1531,35-39,Male,Switzerland,Doctoral,Data Scientist,"10,000 or more employees",20+,Exploring,2020,70000.0,79999.0
1532,50-54,Male,India,Master,Business Analyst,50-249 employees,0,Never,2020,10001.0,20000.0
1533,40-44,Male,Brazil,Doctoral,Research Scientist,0-49 employees,3-4,Others,2020,60000.0,69999.0
1534,35-39,Male,Colombia,Some college,Data Engineer,"10,000 or more employees",20+,Recently-started,2020,40000.0,49999.0
1535,40-44,Male,Israel,Bachelor,Software Engineer,0-49 employees,3-4,Well-establised,2020,90000.0,99999.0
1536,40-44,Male,France,Doctoral,Data Scientist,0-49 employees,1-2,Exploring,2020,40000.0,49999.0
1537,55-59,Male,Colombia,Master,Statistician,50-249 employees,10-14,Exploring,2020,70000.0,79999.0
1538,35-39,Male,Japan,Doctoral,Research Scientist,"1000-9,999 employees",1-2,Others,2020,60000.0,69999.0
1539,25-29,Male,United Kingdom of Great Britain and Northern Ireland,Master,Data Scientist,"1000-9,999 employees",20+,Well-establised,2020,90000.0,99999.0
1540,30-34,Male,Spain,Doctoral,Data Analyst,50-249 employees,5-9,Recently-started,2020,40000.0,49999.0
1541,30-34,Male,Russia,Master,Machine Learning Engineer,50-249 employees,1-2,Well-establised,2020,30000.0,39999.0
1542,55-59,Male,Spain,Master,Software Engineer,"1000-9,999 employees",5-9,Well-establised,2020,40000.0,49999.0
1543,30-34,Male,Brazil,Bachelor,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,30000.0,39999.0
1544,35-39,Female,Germany,Doctoral,Data Scientist,0-49 employees,3-4,Recently-started,2020,30000.0,39999.0
1545,25-29,Female,Spain,Master,Data Scientist,"10,000 or more employees",5-9,Well-establised,2020,40000.0,49999.0
1546,40-44,Male,Spain,Professional degree,Product/Project Manager,0-49 employees,0,Others,2020,20001.0,30000.0
1547,25-29,Female,France,Master,Data Scientist,"10,000 or more employees",5-9,Exploring,2020,20001.0,30000.0
1548,25-29,Male,Spain,Some college,Data Scientist,"10,000 or more employees",5-9,Exploring,2020,40000.0,49999.0
1549,40-44,Male,Canada,Master,Data Engineer,50-249 employees,10-14,Recently-started,2020,80000.0,89999.0
1550,35-39,Female,Italy,Master,Data Analyst,250-999 employees,5-9,Exploring,2020,40000.0,49999.0
1551,22-24,Male,Russia,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,10001.0,20000.0
1552,30-34,Female,United States of America,Doctoral,Data Scientist,0-49 employees,5-9,Well-establised,2020,90000.0,99999.0
1553,40-44,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor,Data Analyst,0-49 employees,3-4,Exploring,2020,60000.0,69999.0
1554,35-39,Male,United States of America,Doctoral,Data Scientist,0-49 employees,10-14,Well-establised,2020,125000.0,149999.0
1555,40-44,Male,Brazil,Master,Data Scientist,50-249 employees,1-2,Never,2020,20001.0,30000.0
1556,25-29,Male,Republic of Korea,Master,Machine Learning Engineer,0-49 employees,5-9,Exploring,2020,40000.0,49999.0
1557,30-34,Male,Italy,Master,Product/Project Manager,50-249 employees,5-9,Exploring,2020,70000.0,79999.0
1558,30-34,Female,United States of America,Doctoral,Business Analyst,50-249 employees,0,Never,2020,40000.0,49999.0
1559,30-34,Male,Turkey,Doctoral,Data Scientist,250-999 employees,20+,Recently-started,2020,60000.0,69999.0
1560,25-29,Male,United States of America,Master,Machine Learning Engineer,"10,000 or more employees",20+,Well-establised,2020,150000.0,199999.0
1561,25-29,Male,Colombia,Doctoral,Data Scientist,0-49 employees,1-2,Others,2020,10001.0,20000.0
1562,30-34,Male,China,Bachelor,Business Analyst,"10,000 or more employees",3-4,Others,2020,200000.0,249999.0
1563,25-29,Male,United States of America,Some college,Machine Learning Engineer,250-999 employees,1-2,Recently-started,2020,100000.0,124999.0
1564,30-34,Male,China,Master,Machine Learning Engineer,"1000-9,999 employees",5-9,Well-establised,2020,100000.0,124999.0
1565,30-34,Male,India,Bachelor,Machine Learning Engineer,"10,000 or more employees",3-4,Well-establised,2020,10001.0,20000.0
1566,40-44,Male,United States of America,Master,Product/Project Manager,"10,000 or more employees",20+,Others,2020,150000.0,199999.0
1567,45-49,Male,Germany,Doctoral,Research Scientist,"1000-9,999 employees",20+,Never,2020,90000.0,99999.0
1568,30-34,Male,United States of America,Bachelor,Product/Project Manager,"10,000 or more employees",20+,Never,2020,80000.0,89999.0
1569,40-44,Male,Germany,Master,Machine Learning Engineer,50-249 employees,15-19,Well-establised,2020,50000.0,59999.0
1570,35-39,Female,Canada,Bachelor,Business Analyst,0-49 employees,1-2,Exploring,2020,70000.0,79999.0
1571,35-39,Female,Germany,Master,Data Analyst,50-249 employees,10-14,Never,2020,50000.0,59999.0
1572,30-34,Male,Italy,Master,Data Scientist,"10,000 or more employees",10-14,Recently-started,2020,70000.0,79999.0
1573,30-34,Female,United States of America,Master,Data Scientist,0-49 employees,1-2,Exploring,2020,60000.0,69999.0
1574,25-29,Male,South Africa,Master,Data Analyst,"10,000 or more employees",20+,Well-establised,2020,20001.0,30000.0
1575,30-34,Male,United States of America,Doctoral,Data Scientist,50-249 employees,3-4,Recently-started,2020,125000.0,149999.0
1576,50-54,Male,Australia,Bachelor,Data Analyst,50-249 employees,1-2,Never,2020,70000.0,79999.0
1577,35-39,Male,Spain,Master,Data Analyst,250-999 employees,1-2,Others,2020,20001.0,30000.0
1578,40-44,Female,India,Master,Data Scientist,0-49 employees,5-9,Others,2020,10001.0,20000.0
1579,25-29,Male,United Kingdom of Great Britain and Northern Ireland,Master,Data Engineer,"1000-9,999 employees",10-14,Recently-started,2020,30000.0,39999.0
1580,22-24,Female,France,Master,Data Engineer,"10,000 or more employees",1-2,Exploring,2020,30000.0,39999.0
1581,30-34,Male,United States of America,Master,Data Scientist,"10,000 or more employees",20+,Recently-started,2020,150000.0,199999.0
1582,30-34,Male,United States of America,Master,Data Scientist,"1000-9,999 employees",1-2,Exploring,2020,100000.0,124999.0
1583,25-29,Male,Ireland,Master,Statistician,250-999 employees,3-4,Never,2020,30000.0,39999.0
1584,30-34,Male,Portugal,Master,Data Scientist,"1000-9,999 employees",5-9,Recently-started,2020,20001.0,30000.0
1585,25-29,Male,India,Bachelor,Data Scientist,"10,000 or more employees",3-4,Recently-started,2020,10001.0,20000.0
1586,55-59,Male,United States of America,Doctoral,Data Engineer,"10,000 or more employees",20+,Well-establised,2020,150000.0,199999.0
1587,30-34,Male,Germany,Doctoral,Research Scientist,0-49 employees,1-2,Exploring,2020,60000.0,69999.0
1588,40-44,Male,Greece,Master,Data Scientist,"10,000 or more employees",5-9,Well-establised,2020,20001.0,30000.0
1589,25-29,Male,India,Bachelor,Data Scientist,"1000-9,999 employees",20+,Well-establised,2020,20001.0,30000.0
1590,25-29,Female,United States of America,Bachelor,Data Analyst,"1000-9,999 employees",10-14,Recently-started,2020,100000.0,124999.0
1591,30-34,Male,Belgium,Master,Data Analyst,50-249 employees,15-19,Well-establised,2020,30000.0,39999.0
1592,30-34,Male,Germany,Some college,Data Engineer,0-49 employees,3-4,Recently-started,2020,70000.0,79999.0
1593,60-69,Male,United States of America,Master,Data Scientist,0-49 employees,1-2,Recently-started,2020,150000.0,199999.0
1594,35-39,Female,United States of America,Bachelor,Data Analyst,250-999 employees,10-14,Well-establised,2020,90000.0,99999.0
1595,35-39,Male,India,Bachelor,Software Engineer,"10,000 or more employees",20+,Exploring,2020,100000.0,124999.0
1596,40-44,Male,Germany,Doctoral,Data Scientist,50-249 employees,5-9,Others,2020,50000.0,59999.0
1597,30-34,Male,India,Master,Data Analyst,"10,000 or more employees",20+,Exploring,2020,10001.0,20000.0
1598,25-29,Male,United States of America,Bachelor,Data Analyst,250-999 employees,3-4,Exploring,2020,90000.0,99999.0
1599,22-24,Male,Russia,Master,Research Scientist,"10,000 or more employees",20+,Exploring,2020,20001.0,30000.0
1600,22-24,Male,Canada,Bachelor,Data Scientist,0-49 employees,3-4,Recently-started,2020,60000.0,69999.0
1601,25-29,Male,United States of America,Master,Data Scientist,"10,000 or more employees",3-4,Others,2020,90000.0,99999.0
1602,60-69,Male,United States of America,Bachelor,Software Engineer,250-999 employees,5-9,Never,2020,50000.0,59999.0
1603,22-24,Male,Russia,Master,Machine Learning Engineer,0-49 employees,3-4,Well-establised,2020,20001.0,30000.0
1604,50-54,Male,United Kingdom of Great Britain and Northern Ireland,Master,Product/Project Manager,"1000-9,999 employees",5-9,Exploring,2020,100000.0,124999.0
1605,40-44,Male,Thailand,Doctoral,Business Analyst,250-999 employees,3-4,Others,2020,20001.0,30000.0
1606,25-29,Male,Brazil,Master,Data Scientist,250-999 employees,20+,Recently-started,2020,10001.0,20000.0
1607,40-44,Female,United Kingdom of Great Britain and Northern Ireland,Doctoral,Data Scientist,"10,000 or more employees",5-9,Others,2020,30000.0,39999.0
1608,30-34,Male,United States of America,Doctoral,Machine Learning Engineer,0-49 employees,10-14,Recently-started,2020,60000.0,69999.0
1609,50-54,Male,Spain,Master,Product/Project Manager,"10,000 or more employees",3-4,Well-establised,2020,70000.0,79999.0
1610,22-24,Male,Russia,Master,Machine Learning Engineer,"1000-9,999 employees",5-9,Well-establised,2020,10001.0,20000.0
1611,25-29,Male,India,Master,Business Analyst,50-249 employees,10-14,Exploring,2020,10001.0,20000.0
1612,50-54,Male,Brazil,Some college,Software Engineer,0-49 employees,1-2,Exploring,2020,250000.0,299999.0
1613,25-29,Male,Germany,Master,Research Scientist,0-49 employees,0,Exploring,2020,40000.0,49999.0
1614,25-29,Male,United States of America,Doctoral,Research Scientist,"1000-9,999 employees",3-4,Exploring,2020,90000.0,99999.0
1615,40-44,Male,Russia,Bachelor,Business Analyst,0-49 employees,1-2,Never,2020,10001.0,20000.0
1616,22-24,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor,Business Analyst,50-249 employees,3-4,Well-establised,2020,40000.0,49999.0
1617,25-29,Male,Chile,Bachelor,Data Scientist,"10,000 or more employees",10-14,Recently-started,2020,20001.0,30000.0
1618,35-39,Male,India,Doctoral,Software Engineer,"10,000 or more employees",20+,Recently-started,2020,20001.0,30000.0
1619,40-44,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor,Software Engineer,50-249 employees,3-4,Well-establised,2020,60000.0,69999.0
1620,25-29,Female,Singapore,Bachelor,Business Analyst,"10,000 or more employees",5-9,Never,2020,30000.0,39999.0
1621,35-39,Male,Spain,Doctoral,Product/Project Manager,"10,000 or more employees",10-14,Recently-started,2020,60000.0,69999.0
1622,50-54,Male,United States of America,Master,Product/Project Manager,"10,000 or more employees",20+,Others,2020,150000.0,199999.0
1623,25-29,Male,Russia,Professional degree,Data Scientist,50-249 employees,3-4,Exploring,2020,10001.0,20000.0
1624,30-34,Male,India,Bachelor,Data Scientist,50-249 employees,20+,Well-establised,2020,30000.0,39999.0
1625,22-24,Male,Spain,Master,Data Scientist,"10,000 or more employees",3-4,Others,2020,30000.0,39999.0
1626,45-49,Male,Romania,Master,DBA/Database Engineer,250-999 employees,0,Never,2020,10001.0,20000.0
1627,25-29,Male,France,Master,Machine Learning Engineer,250-999 employees,20+,Well-establised,2020,90000.0,99999.0
1628,50-54,Male,United States of America,Master,Machine Learning Engineer,0-49 employees,1-2,Recently-started,2020,150000.0,199999.0
1629,50-54,Male,Germany,Master,Machine Learning Engineer,250-999 employees,5-9,Others,2020,70000.0,79999.0
1630,25-29,Male,Spain,Master,Data Analyst,50-249 employees,1-2,Exploring,2020,30000.0,39999.0
1631,40-44,Male,Taiwan,Master,Data Scientist,250-999 employees,5-9,Recently-started,2020,40000.0,49999.0
1632,25-29,Male,United States of America,Bachelor,Data Analyst,250-999 employees,3-4,Exploring,2020,100000.0,124999.0
1633,25-29,Female,China,Master,Software Engineer,"10,000 or more employees",1-2,Well-establised,2020,500000.0,
1634,35-39,Male,Germany,Master,Business Analyst,"1000-9,999 employees",0,Never,2020,40000.0,49999.0
1635,22-24,Female,Morocco,Doctoral,Data Analyst,"1000-9,999 employees",10-14,Recently-started,2020,20001.0,30000.0
1636,25-29,Male,Thailand,Bachelor,Software Engineer,0-49 employees,1-2,Never,2020,40000.0,49999.0
1637,35-39,Male,Poland,Master,Data Scientist,0-49 employees,1-2,Recently-started,2020,100000.0,124999.0
1638,30-34,Male,United States of America,Doctoral,Data Scientist,250-999 employees,5-9,Well-establised,2020,100000.0,124999.0
1639,55-59,Male,United States of America,Master,Software Engineer,0-49 employees,1-2,Recently-started,2020,90000.0,99999.0
1640,30-34,Male,India,Master,Data Engineer,"10,000 or more employees",20+,Others,2020,30000.0,39999.0
1641,25-29,Male,South Africa,Master,Software Engineer,250-999 employees,20+,Well-establised,2020,50000.0,59999.0
1642,40-44,Male,Russia,Doctoral,Software Engineer,"1000-9,999 employees",3-4,Exploring,2020,20001.0,30000.0
1643,35-39,Male,United States of America,Master,Data Analyst,"1000-9,999 employees",20+,Others,2020,70000.0,79999.0
1644,30-34,Male,Italy,Master,Software Engineer,"10,000 or more employees",20+,Well-establised,2020,40000.0,49999.0
1645,45-49,Male,Spain,Master,Machine Learning Engineer,50-249 employees,1-2,Exploring,2020,30000.0,39999.0
1646,25-29,Female,India,Professional degree,Data Analyst,"10,000 or more employees",20+,Exploring,2020,10001.0,20000.0
1647,40-44,Male,United States of America,Bachelor,DBA/Database Engineer,250-999 employees,10-14,Exploring,2020,125000.0,149999.0
1648,30-34,Male,Indonesia,Master,Software Engineer,"10,000 or more employees",20+,Recently-started,2020,40000.0,49999.0
1649,45-49,Male,United States of America,Some college,Machine Learning Engineer,250-999 employees,20+,Others,2020,150000.0,199999.0
1650,35-39,Male,Turkey,Doctoral,Data Scientist,0-49 employees,0,Exploring,2020,20001.0,30000.0
1651,30-34,Male,India,Master,Software Engineer,0-49 employees,1-2,Exploring,2020,10001.0,20000.0
1652,25-29,Female,United States of America,Master,Research Scientist,50-249 employees,5-9,Never,2020,80000.0,89999.0
1653,30-34,Male,Brazil,Master,Data Scientist,"10,000 or more employees",20+,Well-establised,2020,30000.0,39999.0
1654,30-34,Male,United States of America,Doctoral,Research Scientist,"10,000 or more employees",20+,Recently-started,2020,50000.0,59999.0
1655,30-34,Male,India,Bachelor,Software Engineer,"10,000 or more employees",20+,Recently-started,2020,10001.0,20000.0
1656,50-54,Male,Belgium,Doctoral,Research Scientist,"1000-9,999 employees",20+,Well-establised,2020,100000.0,124999.0
1657,35-39,Male,Turkey,Master,Software Engineer,0-49 employees,0,Never,2020,10001.0,20000.0
1658,35-39,Male,United States of America,Master,Data Analyst,0-49 employees,5-9,Well-establised,2020,50000.0,59999.0
